
2025/02/21 (16:48:26) | ===> btop++ v.1.4.0
2025/02/21 (16:48:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/21 (18:10:47) | ===> btop++ v.1.4.0
2025/02/21 (18:10:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/21 (18:11:39) | ===> btop++ v.1.4.0
2025/02/21 (18:11:39) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/21 (18:11:41) | WARNING: Failed to join _runner thread on exit!

2025/02/21 (18:13:22) | ===> btop++ v.1.4.0
2025/02/21 (18:13:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/21 (18:13:52) | ===> btop++ v.1.4.0
2025/02/21 (18:13:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/21 (18:29:28) | ===> btop++ v.1.4.0
2025/02/21 (18:29:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/21 (19:15:23) | ===> btop++ v.1.4.0
2025/02/21 (19:15:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/21 (19:54:34) | ===> btop++ v.1.4.0
2025/02/21 (19:54:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/21 (21:00:43) | ===> btop++ v.1.4.0
2025/02/21 (21:00:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/21 (21:29:24) | ===> btop++ v.1.4.0
2025/02/21 (21:29:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (09:33:11) | ===> btop++ v.1.4.0
2025/02/22 (09:33:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (10:18:26) | ===> btop++ v.1.4.0
2025/02/22 (10:18:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (18:53:33) | ===> btop++ v.1.4.0
2025/02/22 (18:53:33) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/22 (18:58:52) | WARNING: Failed to join _runner thread on exit!

2025/02/22 (20:15:07) | ===> btop++ v.1.4.0
2025/02/22 (20:15:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (20:54:33) | ===> btop++ v.1.4.0
2025/02/22 (20:54:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (19:58:54) | ===> btop++ v.1.4.0
2025/02/23 (19:58:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (21:16:58) | ===> btop++ v.1.4.0
2025/02/23 (21:16:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (21:47:14) | ===> btop++ v.1.4.0
2025/02/26 (21:47:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (10:25:06) | ===> btop++ v.1.4.0
2025/03/01 (10:25:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (15:17:14) | ===> btop++ v.1.4.0
2025/03/02 (15:17:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (19:02:38) | ===> btop++ v.1.4.0
2025/03/02 (19:02:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (21:00:44) | ===> btop++ v.1.4.0
2025/03/02 (21:00:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (16:49:34) | ===> btop++ v.1.4.0
2025/03/03 (16:49:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (17:26:37) | ===> btop++ v.1.4.0
2025/03/03 (17:26:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (17:52:22) | ===> btop++ v.1.4.0
2025/03/03 (17:52:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (18:59:12) | ===> btop++ v.1.4.0
2025/03/03 (18:59:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (18:38:57) | ===> btop++ v.1.4.0
2025/03/05 (18:38:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (20:32:32) | ===> btop++ v.1.4.0
2025/03/08 (20:32:32) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/08 (21:14:45) | WARNING: Failed to join _runner thread on exit!

2025/03/10 (18:12:20) | ===> btop++ v.1.4.0
2025/03/10 (18:12:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (17:23:59) | ===> btop++ v.1.4.0
2025/03/13 (17:23:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (18:16:45) | ===> btop++ v.1.4.0
2025/03/13 (18:16:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (19:37:18) | ===> btop++ v.1.4.0
2025/03/14 (19:37:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (20:36:21) | ===> btop++ v.1.4.0
2025/03/14 (20:36:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (14:51:07) | ===> btop++ v.1.4.0
2025/03/17 (14:51:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (15:20:45) | ===> btop++ v.1.4.0
2025/03/18 (15:20:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (21:28:02) | ===> btop++ v.1.4.0
2025/03/19 (21:28:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (21:35:09) | ===> btop++ v.1.4.0
2025/03/19 (21:35:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (22:08:41) | ===> btop++ v.1.4.0
2025/03/19 (22:08:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/20 (12:08:47) | ===> btop++ v.1.4.0
2025/03/20 (12:08:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/20 (14:51:05) | ===> btop++ v.1.4.0
2025/03/20 (14:51:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/20 (19:36:24) | ===> btop++ v.1.4.0
2025/03/20 (19:36:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/20 (19:37:32) | ===> btop++ v.1.4.0
2025/03/20 (19:37:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/20 (20:35:30) | ===> btop++ v.1.4.0
2025/03/20 (20:35:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (19:20:01) | ===> btop++ v.1.4.0
2025/03/22 (19:20:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (15:02:04) | ===> btop++ v.1.4.0
2025/03/23 (15:02:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (13:46:13) | ===> btop++ v.1.4.0
2025/03/25 (13:46:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (13:46:30) | ===> btop++ v.1.4.0
2025/03/25 (13:46:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (10:06:12) | ===> btop++ v.1.4.0
2025/03/26 (10:06:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/29 (19:02:51) | ===> btop++ v.1.4.0
2025/03/29 (19:02:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (15:04:49) | ===> btop++ v.1.4.0
2025/03/31 (15:04:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (14:29:12) | ===> btop++ v.1.4.0
2025/04/02 (14:29:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (19:39:01) | ===> btop++ v.1.4.0
